start time                lon       lat      depth  mag
2000-11-01 22:26:27.1200  121.7182  37.354  7.01  1.48  21132208
2000-12-14 19:11:21.9400  121.7195  37.3563  7.63  1.76  21138860
2001-01-29 03:55:43.8800  121.718  37.3543  7.51  1.47  21145230
2001-05-07 13:51:07.5000  121.721  37.3553  8.09  1.37  21162597
2001-09-02 18:01:55.0000  121.7183  37.354  7.8  1.26  21192296
2001-11-15 06:31:56.7400  121.7217  37.3572  5.99  1.47  21202625
2003-02-07 20:51:45.4100  121.7167  37.3532  7.39  1.37  21266949
2003-06-25 14:17:31.4500  121.7203  37.3578  7.11  1.25  21289289
2003-08-15 19:59:24.1800  121.7212  37.3567  7.03  1.37  21299934
2003-08-15 20:05:07.3500  121.7197  37.3577  7.86  1.38  21299935
2003-12-23 09:16:03.8100  121.7193  37.3535  7.82  1.26  21325112
2004-01-09 14:07:00.1300  121.7183  37.3538  7.84  1.2  21332213
2005-04-27 20:40:38.8500  121.72  37.3582  8.41  1.92  21452640
2005-04-27 20:47:17.0300  121.7197  37.3572  8.49  1.79  21452642
2005-04-27 20:49:42.4300  121.7202  37.3585  8.56  1.37  21452643
2006-06-06 08:23:04.6000  121.72  37.3572  8.27  1.7  21520902
1994-07-22 04:35:57.0900  121.7202  37.3575  7.51  1.99  30053317
1994-11-25 15:20:26.9800  121.7182  37.3558  9.41  0.95  30063323
1994-11-25 15:22:03.5400  121.7162  37.3532  8.02  1.22  30063324
1995-04-14 04:10:25.2500  121.7197  37.3547  8.32  1.02  30071552
1995-05-14 15:54:18.1100  121.7198  37.357  7.52  1.44  30073203
1995-12-02 05:48:58.9500  121.7188  37.356  8.19  1.39  30091072
1995-12-02 05:58:49.7100  121.7187  37.354  7.88  1.37  30091075
1995-12-02 05:43:38.0200  121.7183  37.3547  7.88  1.26  30091296
1996-05-22 22:09:52.3200  121.7168  37.352  7.57  1.39  30106850
1996-05-24 11:08:29.8300  121.7172  37.3528  8.11  1.34  30107025
1996-06-05 03:28:59.0700  121.7162  37.3542  8.42  1.17  30108300
1996-06-05 03:29:27.3000  121.7178  37.356  8.75  1.19  30108392
1996-06-08 10:06:59.8800  121.7208  37.357  7.71  1.37  30108751
1996-06-10 06:30:45.5300  121.7198  37.357  7.79  2.05  30109009
1996-06-24 00:29:41.8300  121.7183  37.3532  7.41  1.38  30110834
1996-07-20 15:00:18.5900  121.7202  37.356  7.55  1.37  30113825
1996-07-20 15:01:17.2200  121.719  37.3558  7.57  1.37  30113826
1996-08-31 21:43:42.8700  121.7175  37.3538  6.48  0.82  30118276
1996-12-03 18:42:37.3800  121.7218  37.3562  7.14  1.47  30123175
1997-08-05 11:35:03.3300  121.7212  37.3568  6.06  1.3  30139588
1997-12-22 06:52:00.3900  121.7163  37.3542  6.95  1.46  30173859
1998-05-29 14:14:39.6100  121.7192  37.3542  8.89  1.39  30176157
1998-11-06 16:37:36.9700  121.7182  37.3552  7.78  1.19  30205197
1999-03-05 21:28:12.4300  121.7192  37.3533  7.2  1.19  30219250
1999-03-08 21:01:57.7200  121.7188  37.3535  7.26  1.17  30219439
2001-11-15 06:50:47.3800  121.7185  37.3563  8.27  1.26  30223773
2004-01-09 14:08:08.8300  121.7205  37.3553  7.65  1.38  30500629
2006-06-06 08:23:47.8800  121.7198  37.3558  8.2  1.5  30507208
1999-05-24 00:42:41.5400  121.7203  37.358  7.99  2.29  30507485
1999-05-24 00:47:08.2200  121.7185  37.3568  7.82  1.68  30507486
1997-10-06 19:45:40.7300  121.7168  37.3525  8.3  0.86  40036500
2008-02-03 09:48:03.4400  121.7187  37.3545  7.96  1.5  40210590
2008-05-27 11:28:55.6300  121.7163  37.3553  8.44  0.88  40218255
2009-01-15 02:50:46.4800  121.7168  37.3557  8.55  1.06  40230159
2009-02-21 12:19:49.4400  121.7137  37.3588  8.33  0.68  40232073
